src,dst,channel,mean_rssi,pdr,tx_count,,,,,,,
0,35,12,-62.33,0.99,100,,,,,,,
0,12,12,-69.08,0.6,100,,,,,,,
0,7,12,-67.5,1,100,,,,,,,
0,20,12,-87.23,0.4,100,,,,,,,
0,42,12,-78.57,0.6,100,,,,,,,
1,5,12,-80.41,1,100,,,,,,,
1,26,12,-53.39,1,100,,,,,,,
1,14,12,-87.26,0.42,100,,,,,,,
1,30,12,-64.39,1,100,,,,,,,
1,47,12,-76.71,0.54,100,,,,,,,
1,22,12,-79.59,1,100,,,,,,,
1,6,12,-87.7,0.27,100,,,,,,,
1,21,12,-88,0.2,100,,,,,,,
2,24,12,-66.57,1,100,,,,,,,
2,3,12,-87.19,0.45,100,,,,,,,
2,15,12,-59.75,1,100,,,,,,,
2,21,12,-66.07,1,100,,,,,,,
2,47,12,-80.79,0.42,100,,,,,,,
2,27,12,-44.41,1,100,,,,,,,
3,4,12,-74.39,1,100,,,,,,,
3,27,12,-79.93,0.59,100,,,,,,,
3,9,12,-84.46,1,100,,,,,,,
3,2,12,-87.91,0.22,100,,,,,,,
3,24,12,-48.39,1,100,,,,,,,
3,32,12,-66.57,1,100,,,,,,,
4,24,12,-81.29,0.66,100,,,,,,,
4,3,12,-74.83,0.65,100,,,,,,,
4,32,12,-57.41,1,100,,,,,,,
4,23,12,-85.44,1,100,,,,,,,
4,9,12,-47.39,1,100,,,,,,,
5,45,12,-81.58,1,100,,,,,,,
5,34,12,-68.39,1,100,,,,,,,
5,41,12,-79.27,1,100,,,,,,,
5,47,12,-74.44,0.7,100,,,,,,,
5,11,12,-83.18,1,100,,,,,,,
5,16,12,-50.4,1,100,,,,,,,
5,19,12,-62.4,1,100,,,,,,,
5,40,12,-59.59,1,100,,,,,,,
5,1,12,-80.76,1,100,,,,,,,
5,26,12,-74.39,1,100,,,,,,,
5,46,12,-68.45,1,100,,,,,,,
5,44,12,-77.4,1,100,,,,,,,
5,31,12,-49.77,1,100,,,,,,,
5,6,12,-87.03,0.34,100,,,,,,,
6,13,12,-87.25,0.41,100,,,,,,,
6,14,12,-62.4,1,100,,,,,,,
6,26,12,-76.43,1,100,,,,,,,
6,43,12,-83.37,0.9,100,,,,,,,
6,22,12,-62.4,1,100,,,,,,,
6,1,12,-87.26,0.42,100,,,,,,,
6,47,12,-46.95,1,100,,,,,,,
6,5,12,-85.97,0.93,100,,,,,,,
6,30,12,-88.17,0.17,100,,,,,,,
6,21,12,-80.34,0.51,100,,,,,,,
6,33,12,-88.92,0.08,100,,,,,,,
7,44,12,-86.79,0.62,100,,,,,,,
7,11,12,-86.24,0.93,100,,,,,,,
7,12,12,-83.16,0.63,100,,,,,,,
7,17,12,-67.91,1,100,,,,,,,
7,40,12,-87.36,0.38,100,,,,,,,
7,18,12,-66.94,0.78,100,,,,,,,
7,20,12,-56.43,1,100,,,,,,,
7,0,12,-68.68,0.72,100,,,,,,,
7,48,12,-44.41,1,100,,,,,,,
8,29,12,-71.31,1,100,,,,,,,
8,25,12,-75.04,1,100,,,,,,,
8,38,12,-59.5,1,100,,,,,,,
9,32,12,-67.93,1,100,,,,,,,
9,4,12,-44.39,1,100,,,,,,,
9,23,12,-65.33,1,100,,,,,,,
9,3,12,-83.88,0.61,100,,,,,,,
10,36,12,-47.39,1,100,,,,,,,
10,39,12,-74.45,1,100,,,,,,,
10,29,12,-75.81,0.64,100,,,,,,,
10,25,12,-63.5,1,100,,,,,,,
11,45,12,-84.38,1,100,,,,,,,
11,40,12,-65.58,1,100,,,,,,,
11,31,12,-85.35,0.99,100,,,,,,,
11,17,12,-60.64,1,100,,,,,,,
11,20,12,-83.9,0.99,100,,,,,,,
11,5,12,-83.25,1,100,,,,,,,
11,7,12,-88.52,0.12,100,,,,,,,
11,44,12,-56.4,1,100,,,,,,,
11,41,12,-73.5,1,100,,,,,,,
12,42,12,-61.98,0.9,100,,,,,,,
12,35,12,-66.78,0.75,100,,,,,,,
12,18,12,-85.77,0.75,100,,,,,,,
12,37,12,-85.61,0.75,100,,,,,,,
12,28,12,-57.39,1,100,,,,,,,
12,49,12,-81.5,0.75,100,,,,,,,
12,0,12,-70.77,0.75,100,,,,,,,
12,48,12,-76.68,0.85,100,,,,,,,
12,7,12,-84.78,0.24,100,,,,,,,
12,33,12,-91,0.01,100,,,,,,,
13,43,12,-38.42,1,100,,,,,,,
13,14,12,-68.21,1,100,,,,,,,
13,49,12,-86.91,0.6,100,,,,,,,
13,33,12,-59.39,1,100,,,,,,,
13,6,12,-87.39,0.37,100,,,,,,,
